Key,English
quest_MaterialTrader4_ironBarsCentered_subtitle,Collect  100000 Scrap Iron and 20000 Clay.
quest_MaterialTrader4_ironBarsCentered_description,Trade 100000 Scrap Iron and 20000 Clay for 1000 Iron Bars.
quest_MaterialTrader1_ironBars,25 Iron Bars
quest_MaterialTrader1_ironBars_subtitle,Collect 2500 Scrap Iron and 250 Clay .
quest_MaterialTrader1_ironBars_description,Trade 2500 Scrap Iron and 250 Clay for 25 Iron Bars.
quest_MaterialTrader2_ironBars,100 Iron Bars
quest_MaterialTrader2_ironBars_subtitle,Collect 10000 Scrap Iron and 2000 Clay.
quest_MaterialTrader2_ironBars_description,Trade 10000 Scrap Iron and 2000 Clay for 100 Iron Bars.
quest_MaterialTrader3_ironBars,500 Iron Bars
quest_MaterialTrader3_ironBars_subtitle,Collect 50000 Scrap Iron and 10000 Clay.
quest_MaterialTrader3_ironBars_description,Trade 50000 Scrap Iron and 10000 Clay for 500 Iron Bars.
quest_MaterialTrader4_ironBars,1000 Iron Bars
quest_MaterialTrader4_ironBars_subtitle,Collect  100000 Scrap Iron and 20000 Clay.
quest_MaterialTrader4_ironBars_description,Trade 100000 Scrap Iron and 20000 Clay for 1000 Iron Bars.
